YEARMODA,TEMP,MAX,MIN,DIFF,DIFF_Min,TEMP_Celsius,Celsius_rounded
20160601,65.5,73.6,54.7,18.9,10.8,18.6,19.0
20160602,65.8,80.8,55.0,25.8,10.8,18.8,19.0
20160603,68.4,77.9,55.6,22.3,12.8,20.2,20.0
20160604,57.5,70.9,47.3,23.6,10.2,14.2,14.0
20160605,51.4,58.3,43.2,15.1,8.2,10.8,11.0
20160606,52.2,59.7,42.8,16.9,9.4,11.2,11.0
20160607,56.9,65.1,45.9,19.2,11.0,13.8,14.0
20160608,54.2,60.4,47.5,12.9,6.7,12.3,12.0
20160609,49.4,54.1,45.7,8.4,3.7,9.7,10.0
20160610,49.5,55.9,43.0,12.9,6.5,9.7,10.0
20160611,54.0,62.1,41.7,20.4,12.3,12.2,12.0
20160612,55.4,64.2,46.0,18.2,9.4,13.0,13.0
20160613,58.3,68.2,47.3,20.9,11.0,14.6,15.0
20160614,59.7,67.8,47.8,20.0,11.9,15.4,15.0
20160615,63.4,70.3,49.3,21.0,14.1,17.4,17.0
20160616,57.8,67.5,55.6,11.9,2.2,14.3,14.0
20160617,60.4,70.7,55.9,14.8,4.5,15.8,16.0
20160618,57.3,62.8,54.0,8.8,3.3,14.1,14.0
20160619,56.3,59.2,54.1,5.1,2.2,13.5,13.0
20160620,59.3,69.1,52.2,16.9,7.1,15.2,15.0
20160621,62.6,71.4,50.4,21.0,12.2,17.0,17.0
20160622,61.7,70.2,55.4,14.8,6.3,16.5,16.0
20160623,60.9,67.1,54.9,12.2,6.0,16.1,16.0
20160624,61.1,68.9,56.7,12.2,4.4,16.2,16.0
20160625,65.7,75.4,57.9,17.5,7.8,18.7,19.0
20160626,69.6,77.7,60.3,17.4,9.3,20.9,21.0
20160627,60.7,70.0,57.6,12.4,3.1,15.9,16.0
20160628,65.4,73.0,55.8,17.2,9.6,18.6,19.0
20160629,65.8,73.2,59.7,13.5,6.1,18.8,19.0
20160630,65.7,72.7,59.2,13.5,6.5,18.7,19.0
